Node,X,Y
1,360.5,161
2,360.5,163.8
11,359.663,162.816
12,358.596,163.075
13,358.481,163.08
14,358.379,163.045
15,358.305,162.987
16,358.234,162.857
17,355.779,153.074
18,355.753,152.623
19,355.753,152.247
110,355.804,151.921
111,355.904,151.696
112,356.079,151.545
113,356.18,151.445
114,356.5,151.294
115,359.292,150.645
116,359.314,150.739
117,362.678,149.859
118,359.316,150.783
119,362.907,149.79
120,359.312,150.829
121,363.142,149.66
122,359.303,150.87
123,363.44,149.34
124,359.288,150.919
125,364.003,148.778
126,359.263,150.969
127,367.364,153.633
128,371.19,141.87
129,359.239,151.018
130,368.306,154.959
131,366.232,154.742
132,373.111,140.039
133,359.17,151.147
134,372,155.437
135,366.208,154.79
136,377.1695,144.079
137,378.919,134.502
138,359.092,151.259
139,366.183,154.863
140,377.444,143.788
141,378.41,145.392
142,382.963,130.674
143,378.775,134.34
144,359.073,151.287
145,366.159,154.959
146,377.571,143.66
147,380,149.437
148,386.026,127.789
149,378.742,134.241
150,359.038,151.32
151,366.159,155.2
152,377.754,143.605
153,386.475,127.381
154,386.491,128.228
155,378.759,134.126
156,358.964,151.367
157,366.232,155.393
158,377.936,143.605
159,388.469,125.49
160,386.548,128.26
161,378.775,134.027
162,358.892,151.397
163,366.907,156.116
164,378.045,143.605
165,388.87,125.101
166,394.23,131.407
167,386.618,128.284
168,378.825,133.945
169,358.812,151.42
170,368,159.437
171,378.246,143.678
172,393.932,120.865
173,394,135.437
174,394,135.437
175,386.793,128.324
176,378.972,133.761
177,358.436,151.52
178,379.048,144.407
179,395.613,119.294
180,386.889,128.363
181,379.512,133.245
182,357.935,151.62
183,383,145.437
184,396.025,119.007
185,386.982,128.424
186,380.558,132.257
187,357.634,151.696
188,396.878,118.451
189,387.06,128.494
190,380.775,131.992
191,357.525,151.722
192,397.741,118.03
193,380.803,131.933
194,357.492,151.733
195,398.23,117.761
196,380.8,131.847
197,357.458,151.747
198,398.556,117.589
199,380.781,131.815
1100,357.383,151.796
1101,398.997,117.335
1102,377.706,127.769
1103,357.157,151.971
1104,399.282,117.379
1105,399.282,117.157
1106,377.64,127.558
1107,399.63,117.404
1108,399.43,117.037
1109,377.511,127.126
1110,400.032,117.448
1111,404.463,111.452
