Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    2.48939,   167.18,    3.10172,    44.15,    2.72033,   -85.75,          0,     0.00, 7.27951E-013,    38.66,    2.48939,   -12.82,    3.10172,  -135.85,    2.72033,    94.25,          0,     0.00, 7.27951E-013,  -141.34
Line.LINE1,     7.2608,   -51.15,    8.52667,  -160.93,    9.13952,    67.45,          0,     0.00, 3.25391E-011,   -26.57,     7.2608,   128.85,    8.52667,    19.07,    9.13952,  -112.55,          0,     0.00, 3.25391E-011,   153.43
Line.LINE21,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE22,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE23,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE24,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE25,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE26,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE27,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE28,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE29,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE210,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE211,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE212,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE213,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE214,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE215,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
