Alverston Close,P_GEN_MIN,
06/11/2013 15:00,0.05,
06/11/2013 16:00,0,
06/11/2013 17:00,0,
06/11/2013 18:00,0,
06/11/2013 19:00,0,
06/11/2013 20:00,0,
06/11/2013 21:00,0,
06/11/2013 22:00,0,
06/11/2013 23:00,0,
07/11/2013 00:00,0,
07/11/2013 01:00,0.001,
07/11/2013 02:00,0.001,
07/11/2013 03:00,0.001,
07/11/2013 04:00,0.001,
07/11/2013 05:00,0.001,
07/11/2013 06:00,0,
07/11/2013 07:00,0.001,
07/11/2013 08:00,0,
07/11/2013 09:00,0,
07/11/2013 10:00,0.109,
07/11/2013 11:00,0.195,
07/11/2013 12:00,0.297,
07/11/2013 13:00,0.322,
07/11/2013 14:00,0.122,
07/11/2013 15:00,0.044,
07/11/2013 16:00,0,
07/11/2013 17:00,0,
07/11/2013 18:00,0.001,
07/11/2013 19:00,0,
07/11/2013 20:00,0,
07/11/2013 21:00,0,
07/11/2013 22:00,0.001,
07/11/2013 23:00,0.001,
08/11/2013 00:00,0.001,
08/11/2013 01:00,0.001,
08/11/2013 02:00,0.001,
08/11/2013 03:00,0.001,
08/11/2013 04:00,0.001,
08/11/2013 05:00,0.001,
08/11/2013 06:00,0.001,
08/11/2013 07:00,0.001,
08/11/2013 08:00,0,
08/11/2013 09:00,0.018,
08/11/2013 10:00,0.161,
08/11/2013 11:00,0.224,
08/11/2013 12:00,0.236,
08/11/2013 13:00,0.23,
08/11/2013 14:00,0.297,
08/11/2013 15:00,0.172,
08/11/2013 16:00,0,
08/11/2013 17:00,0,
08/11/2013 18:00,0,
08/11/2013 19:00,0.001,
08/11/2013 20:00,0,
08/11/2013 21:00,0,
08/11/2013 22:00,0,
08/11/2013 23:00,0,
09/11/2013 00:00,0,
09/11/2013 01:00,0.001,
09/11/2013 02:00,0,
09/11/2013 03:00,0,
09/11/2013 04:00,0.001,
09/11/2013 05:00,0.001,
09/11/2013 06:00,0,
09/11/2013 07:00,0,
09/11/2013 08:00,0,
09/11/2013 09:00,0.048,
09/11/2013 10:00,0,
09/11/2013 11:00,0,
09/11/2013 12:00,0,
09/11/2013 13:00,0,
09/11/2013 14:00,0.001,
09/11/2013 15:00,0.079,
09/11/2013 16:00,0,
09/11/2013 17:00,0,
09/11/2013 18:00,0,
09/11/2013 19:00,0,
09/11/2013 20:00,0,
09/11/2013 21:00,0.001,
09/11/2013 22:00,0,
09/11/2013 23:00,0.001,
10/11/2013 00:00,0,
10/11/2013 01:00,0,
10/11/2013 02:00,0.001,
10/11/2013 03:00,0,
10/11/2013 04:00,0,
10/11/2013 05:00,0.001,
10/11/2013 06:00,0,
10/11/2013 07:00,0.001,
10/11/2013 08:00,0,
10/11/2013 09:00,0.64,
10/11/2013 10:00,1.405,
10/11/2013 11:00,1.837,
10/11/2013 12:00,2.214,
10/11/2013 13:00,1.913,
10/11/2013 14:00,1.663,
10/11/2013 15:00,0.801,
10/11/2013 16:00,0,
10/11/2013 17:00,0,
10/11/2013 18:00,0,
10/11/2013 19:00,0,
10/11/2013 20:00,0,
10/11/2013 21:00,0,
10/11/2013 22:00,0,
10/11/2013 23:00,0,
11/11/2013 00:00,0.001,
11/11/2013 01:00,0,
11/11/2013 02:00,0,
11/11/2013 03:00,0.001,
11/11/2013 04:00,0.001,
11/11/2013 05:00,0,
11/11/2013 06:00,0.001,
11/11/2013 07:00,0,
11/11/2013 08:00,0,
11/11/2013 09:00,0,
11/11/2013 10:00,0.041,
11/11/2013 11:00,0.042,
11/11/2013 12:00,0.035,
11/11/2013 13:00,0.039,
11/11/2013 14:00,0,
11/11/2013 15:00,0,
11/11/2013 16:00,0,
11/11/2013 17:00,0,
11/11/2013 18:00,0,
11/11/2013 19:00,0,
11/11/2013 20:00,0,
11/11/2013 21:00,0,
11/11/2013 22:00,0.001,
11/11/2013 23:00,0,
12/11/2013 00:00,0.001,
12/11/2013 01:00,0.001,
12/11/2013 02:00,0,
12/11/2013 03:00,0,
12/11/2013 04:00,0,
12/11/2013 05:00,0,
12/11/2013 06:00,0,
12/11/2013 07:00,0.001,
12/11/2013 08:00,0,
12/11/2013 09:00,0,
12/11/2013 10:00,0.053,
12/11/2013 11:00,0.11,
12/11/2013 12:00,0.193,
12/11/2013 13:00,0.189,
12/11/2013 14:00,0.11,
12/11/2013 15:00,0.095,
12/11/2013 16:00,0,
12/11/2013 17:00,0,
12/11/2013 18:00,0,
12/11/2013 19:00,0,
12/11/2013 20:00,0,
12/11/2013 21:00,0,
12/11/2013 22:00,0.001,
12/11/2013 23:00,0.001,
13/11/2013 00:00,0.001,
13/11/2013 01:00,0,
13/11/2013 02:00,0,
13/11/2013 03:00,0,
13/11/2013 04:00,0.001,
13/11/2013 05:00,0,
13/11/2013 06:00,0,
13/11/2013 07:00,0,
13/11/2013 08:00,0,
13/11/2013 09:00,0.47,
13/11/2013 10:00,1.269,
13/11/2013 11:00,1.807,
13/11/2013 12:00,1.851,
13/11/2013 13:00,1.751,
13/11/2013 14:00,1.058,
13/11/2013 15:00,0.234,
13/11/2013 16:00,0,
13/11/2013 17:00,0,
13/11/2013 18:00,0.001,
13/11/2013 19:00,0.001,
13/11/2013 20:00,0,
13/11/2013 21:00,0.001,
13/11/2013 22:00,0,
13/11/2013 23:00,0,
14/11/2013 00:00,0,
14/11/2013 01:00,0.001,
14/11/2013 02:00,0,
14/11/2013 03:00,0.001,
14/11/2013 04:00,0.001,
14/11/2013 05:00,0.001,
14/11/2013 06:00,0,
14/11/2013 07:00,0.001,
