Forest Road,P_GEN_MIN,
01/10/2013 12:00,2.229,
01/10/2013 13:00,2.099,
01/10/2013 14:00,1.974,
01/10/2013 15:00,1.552,
01/10/2013 16:00,0.498,
01/10/2013 17:00,0.258,
01/10/2013 18:00,0.079,
01/10/2013 19:00,0.002,
01/10/2013 20:00,0.002,
01/10/2013 21:00,0.002,
01/10/2013 22:00,0.002,
01/10/2013 23:00,0.002,
02/10/2013 00:00,0.002,
02/10/2013 01:00,0.002,
02/10/2013 02:00,0.002,
02/10/2013 03:00,0.002,
02/10/2013 04:00,0.002,
02/10/2013 05:00,0.002,
02/10/2013 06:00,0.002,
02/10/2013 07:00,0.002,
02/10/2013 08:00,0.049,
02/10/2013 09:00,0.283,
02/10/2013 10:00,0.565,
02/10/2013 11:00,0.485,
02/10/2013 12:00,0.334,
02/10/2013 13:00,0.256,
02/10/2013 14:00,0.318,
02/10/2013 15:00,0.196,
02/10/2013 16:00,0.119,
02/10/2013 17:00,0.209,
02/10/2013 18:00,0.034,
02/10/2013 19:00,0.002,
02/10/2013 20:00,0.002,
02/10/2013 21:00,0.002,
02/10/2013 22:00,0.002,
02/10/2013 23:00,0.002,
03/10/2013 00:00,0.002,
03/10/2013 01:00,0.002,
03/10/2013 02:00,0.002,
03/10/2013 03:00,0.002,
03/10/2013 04:00,0.002,
03/10/2013 05:00,0.002,
03/10/2013 06:00,0.002,
03/10/2013 07:00,0.119,
03/10/2013 08:00,0.612,
03/10/2013 09:00,0.873,
03/10/2013 10:00,1.093,
03/10/2013 11:00,1.421,
03/10/2013 12:00,2.236,
03/10/2013 13:00,0.532,
03/10/2013 14:00,0.142,
03/10/2013 15:00,0.399,
03/10/2013 16:00,0.396,
03/10/2013 17:00,0.393,
03/10/2013 18:00,0.043,
03/10/2013 19:00,0.002,
03/10/2013 20:00,0.002,
03/10/2013 21:00,0.002,
03/10/2013 22:00,0.002,
03/10/2013 23:00,0.002,
04/10/2013 00:00,0.002,
04/10/2013 01:00,0.002,
04/10/2013 02:00,0.002,
04/10/2013 03:00,0.002,
04/10/2013 04:00,0.002,
04/10/2013 05:00,0.002,
04/10/2013 06:00,0.002,
04/10/2013 07:00,0.05,
04/10/2013 08:00,0.181,
04/10/2013 09:00,0.417,
04/10/2013 10:00,1.054,
04/10/2013 11:00,1.146,
04/10/2013 12:00,2.375,
04/10/2013 13:00,1.658,
04/10/2013 14:00,1.678,
04/10/2013 15:00,1.27,
04/10/2013 16:00,0.349,
04/10/2013 17:00,0.293,
04/10/2013 18:00,0.09,
04/10/2013 19:00,0.002,
04/10/2013 20:00,0.002,
04/10/2013 21:00,0.002,
04/10/2013 22:00,0.002,
04/10/2013 23:00,0.002,
05/10/2013 00:00,0.002,
05/10/2013 01:00,0.002,
05/10/2013 02:00,0.002,
05/10/2013 03:00,0.002,
05/10/2013 04:00,0.002,
05/10/2013 05:00,0.002,
05/10/2013 06:00,0.002,
05/10/2013 07:00,0.029,
05/10/2013 08:00,0.467,
05/10/2013 09:00,0.768,
05/10/2013 10:00,1.04,
05/10/2013 11:00,1.516,
05/10/2013 12:00,1.133,
05/10/2013 13:00,0.847,
05/10/2013 14:00,0.404,
05/10/2013 15:00,0.377,
05/10/2013 16:00,0.39,
05/10/2013 17:00,0.125,
05/10/2013 18:00,0.003,
05/10/2013 19:00,0.002,
05/10/2013 20:00,0.002,
05/10/2013 21:00,0.002,
05/10/2013 22:00,0.002,
05/10/2013 23:00,0.002,
06/10/2013 00:00,0.002,
06/10/2013 01:00,0.002,
06/10/2013 02:00,0.002,
06/10/2013 03:00,0.002,
06/10/2013 04:00,0.002,
06/10/2013 05:00,0.002,
06/10/2013 06:00,0.002,
06/10/2013 07:00,0.055,
06/10/2013 08:00,0.507,
06/10/2013 09:00,1.185,
06/10/2013 10:00,1.651,
06/10/2013 11:00,2.114,
06/10/2013 12:00,2.333,
06/10/2013 13:00,2.404,
06/10/2013 14:00,1.884,
06/10/2013 15:00,1.58,
06/10/2013 16:00,0.423,
06/10/2013 18:00,0.037,
06/10/2013 19:00,0.002,
06/10/2013 20:00,0.002,
06/10/2013 21:00,0.002,
06/10/2013 22:00,0.002,
06/10/2013 23:00,0.002,
07/10/2013 00:00,0.002,
07/10/2013 01:00,0.002,
07/10/2013 02:00,0.002,
07/10/2013 03:00,0.002,
07/10/2013 04:00,0.002,
07/10/2013 06:00,0.002,
07/10/2013 07:00,0.085,
07/10/2013 08:00,0.554,
07/10/2013 09:00,0.602,
07/10/2013 10:00,0.764,
07/10/2013 11:00,0.725,
07/10/2013 12:00,0.624,
07/10/2013 13:00,0.776,
07/10/2013 14:00,1.156,
07/10/2013 15:00,1.535,
07/10/2013 16:00,0.263,
07/10/2013 17:00,0.164,
07/10/2013 18:00,0.012,
07/10/2013 19:00,0.002,
07/10/2013 20:00,0.002,
07/10/2013 21:00,0.002,
07/10/2013 22:00,0.002,
07/10/2013 23:00,0.002,
08/10/2013 00:00,0.002,
08/10/2013 01:00,0.002,
08/10/2013 02:00,0.002,
08/10/2013 03:00,0.002,
08/10/2013 04:00,0.002,
08/10/2013 05:00,0.002,
08/10/2013 06:00,0.002,
08/10/2013 07:00,0.026,
08/10/2013 08:00,0.439,
08/10/2013 09:00,0.972,
08/10/2013 10:00,1.718,
08/10/2013 11:00,2.241,
08/10/2013 12:00,2.278,
08/10/2013 13:00,2.466,
08/10/2013 14:00,2.167,
08/10/2013 15:00,0.628,
08/10/2013 16:00,0.36,
08/10/2013 17:00,0.211,
08/10/2013 18:00,0.018,
08/10/2013 19:00,0.002,
08/10/2013 20:00,0.002,
08/10/2013 21:00,0.002,
08/10/2013 22:00,0.002,
08/10/2013 23:00,0.002,
09/10/2013 00:00,0.002,
09/10/2013 01:00,0.002,
09/10/2013 02:00,0.002,
09/10/2013 03:00,0.002,
09/10/2013 04:00,0.002,
09/10/2013 05:00,0.002,
09/10/2013 06:00,0.002,
09/10/2013 07:00,0.079,
09/10/2013 08:00,0.238,
09/10/2013 09:00,0.224,
09/10/2013 10:00,0.428,
09/10/2013 11:00,2.346,
09/10/2013 12:00,1.217,
09/10/2013 13:00,2.286,
09/10/2013 14:00,0.537,
09/10/2013 15:00,0.327,
09/10/2013 16:00,0.314,
09/10/2013 17:00,0.158,
09/10/2013 18:00,0.003,
09/10/2013 19:00,0.002,
09/10/2013 20:00,0.002,
09/10/2013 21:00,0.002,
09/10/2013 22:00,0.002,
09/10/2013 23:00,0.002,
10/10/2013 00:00,0.002,
10/10/2013 01:00,0.002,
10/10/2013 02:00,0.002,
10/10/2013 03:00,0.002,
10/10/2013 04:00,0.002,
10/10/2013 05:00,0.002,
10/10/2013 06:00,0.002,
10/10/2013 07:00,0.002,
10/10/2013 08:00,0.592,
10/10/2013 09:00,1.025,
10/10/2013 10:00,1.328,
10/10/2013 11:00,2.141,
10/10/2013 12:00,2.429,
10/10/2013 13:00,2.424,
10/10/2013 14:00,1.894,
10/10/2013 15:00,0.562,
10/10/2013 16:00,0.444,
10/10/2013 17:00,0.312,
10/10/2013 18:00,0.003,
10/10/2013 19:00,0.002,
10/10/2013 20:00,0.002,
10/10/2013 21:00,0.002,
10/10/2013 22:00,0.002,
10/10/2013 23:00,0.002,
11/10/2013 00:00,0.002,
11/10/2013 01:00,0.002,
11/10/2013 02:00,0.002,
11/10/2013 03:00,0.002,
11/10/2013 04:00,0.002,
11/10/2013 05:00,0.002,
11/10/2013 06:00,0.002,
11/10/2013 07:00,0.003,
11/10/2013 08:00,0.29,
11/10/2013 09:00,0.601,
11/10/2013 10:00,0.273,
11/10/2013 11:00,0.284,
11/10/2013 12:00,0.323,
11/10/2013 14:00,0.075,
11/10/2013 15:00,0.081,
11/10/2013 16:00,0.082,
11/10/2013 17:00,0.051,
11/10/2013 18:00,0.002,
11/10/2013 19:00,0.002,
11/10/2013 20:00,0.002,
11/10/2013 21:00,0.002,
11/10/2013 22:00,0.002,
11/10/2013 23:00,0.002,
12/10/2013 00:00,0.002,
12/10/2013 01:00,0.002,
12/10/2013 02:00,0.002,
12/10/2013 03:00,0.002,
