Maple Drive East,P_GEN_MIN,
21/08/2013 13:00,0.046,
21/08/2013 14:00,0.058,
21/08/2013 15:00,0.051,
21/08/2013 16:00,0.037,
21/08/2013 17:00,0.019,
21/08/2013 18:00,0.004,
21/08/2013 19:00,-0.003,
21/08/2013 20:00,-0.001,
21/08/2013 21:00,-0.001,
21/08/2013 22:00,-0.001,
21/08/2013 23:00,-0.001,
22/08/2013 00:00,-0.001,
22/08/2013 01:00,-0.001,
22/08/2013 02:00,-0.001,
22/08/2013 03:00,-0.001,
22/08/2013 04:00,-0.001,
22/08/2013 05:00,-0.001,
22/08/2013 06:00,-0.001,
22/08/2013 07:00,-0.004,
22/08/2013 08:00,0,
22/08/2013 09:00,0.007,
22/08/2013 10:00,0.04,
22/08/2013 11:00,0.053,
22/08/2013 12:00,0.044,
22/08/2013 13:00,0.047,
22/08/2013 14:00,0.05,
22/08/2013 15:00,0.047,
22/08/2013 16:00,0.028,
22/08/2013 17:00,0.027,
22/08/2013 18:00,0.002,
22/08/2013 19:00,-0.004,
22/08/2013 20:00,-0.001,
22/08/2013 21:00,-0.001,
22/08/2013 22:00,-0.001,
22/08/2013 23:00,-0.001,
23/08/2013 00:00,-0.001,
23/08/2013 01:00,-0.001,
23/08/2013 02:00,-0.001,
23/08/2013 03:00,-0.001,
23/08/2013 04:00,-0.001,
23/08/2013 05:00,-0.001,
23/08/2013 07:00,0.014,
23/08/2013 08:00,0.031,
23/08/2013 09:00,0.048,
23/08/2013 10:00,0.07,
23/08/2013 11:00,3.002,
23/08/2013 12:00,3.537,
23/08/2013 13:00,3.707,
23/08/2013 14:00,3.128,
23/08/2013 15:00,1.258,
23/08/2013 16:00,0.681,
23/08/2013 17:00,0.653,
23/08/2013 18:00,0.308,
23/08/2013 19:00,0.104,
23/08/2013 20:00,-0.004,
23/08/2013 21:00,-0.004,
23/08/2013 22:00,-0.004,
23/08/2013 23:00,-0.004,
24/08/2013 00:00,-0.004,
24/08/2013 01:00,-0.004,
24/08/2013 02:00,-0.004,
24/08/2013 03:00,-0.004,
24/08/2013 04:00,-0.004,
24/08/2013 05:00,-0.004,
24/08/2013 06:00,0.051,
24/08/2013 07:00,0.069,
24/08/2013 08:00,0.153,
24/08/2013 09:00,0.323,
24/08/2013 10:00,0.721,
24/08/2013 11:00,1.166,
24/08/2013 12:00,1.214,
24/08/2013 13:00,1.665,
24/08/2013 14:00,0.879,
24/08/2013 15:00,0.288,
24/08/2013 16:00,0.418,
24/08/2013 17:00,0.297,
24/08/2013 18:00,0.225,
24/08/2013 19:00,0.026,
24/08/2013 20:00,-0.004,
24/08/2013 21:00,-0.004,
24/08/2013 22:00,-0.004,
24/08/2013 23:00,-0.004,
25/08/2013 00:00,-0.004,
25/08/2013 01:00,-0.004,
25/08/2013 02:00,-0.004,
25/08/2013 03:00,-0.004,
25/08/2013 04:00,-0.004,
25/08/2013 05:00,-0.004,
25/08/2013 06:00,-0.003,
25/08/2013 07:00,0.087,
25/08/2013 08:00,0.377,
25/08/2013 09:00,0.433,
25/08/2013 11:00,2.405,
25/08/2013 12:00,3.059,
25/08/2013 13:00,3.288,
25/08/2013 14:00,2.878,
25/08/2013 15:00,2.495,
25/08/2013 16:00,2.021,
25/08/2013 17:00,0.989,
25/08/2013 19:00,0.157,
25/08/2013 20:00,-0.003,
25/08/2013 21:00,-0.004,
25/08/2013 22:00,-0.004,
25/08/2013 23:00,-0.004,
26/08/2013 00:00,-0.004,
26/08/2013 01:00,-0.004,
26/08/2013 02:00,-0.004,
26/08/2013 03:00,-0.004,
26/08/2013 04:00,-0.004,
26/08/2013 05:00,-0.004,
26/08/2013 06:00,0.021,
26/08/2013 07:00,0.193,
26/08/2013 08:00,1.554,
26/08/2013 09:00,2.242,
26/08/2013 10:00,2.803,
26/08/2013 11:00,2.926,
26/08/2013 12:00,2.938,
26/08/2013 13:00,2.977,
26/08/2013 14:00,2.942,
26/08/2013 15:00,2.346,
26/08/2013 16:00,1.973,
26/08/2013 17:00,1.13,
26/08/2013 18:00,0.37,
26/08/2013 19:00,0.081,
26/08/2013 20:00,-0.003,
26/08/2013 21:00,-0.004,
26/08/2013 22:00,-0.004,
26/08/2013 23:00,-0.004,
27/08/2013 00:00,-0.004,
27/08/2013 01:00,-0.004,
27/08/2013 02:00,-0.004,
27/08/2013 03:00,-0.004,
27/08/2013 04:00,-0.004,
27/08/2013 05:00,-0.004,
27/08/2013 06:00,0.263,
27/08/2013 07:00,1.141,
27/08/2013 08:00,1.892,
27/08/2013 09:00,2.431,
27/08/2013 10:00,2.792,
27/08/2013 11:00,2.978,
27/08/2013 12:00,3.243,
27/08/2013 13:00,3.223,
27/08/2013 14:00,2.917,
27/08/2013 15:00,2.425,
27/08/2013 16:00,1.89,
27/08/2013 17:00,1.115,
27/08/2013 18:00,0.36,
27/08/2013 19:00,0.144,
27/08/2013 20:00,-0.004,
27/08/2013 21:00,-0.004,
27/08/2013 22:00,-0.004,
27/08/2013 23:00,-0.004,
28/08/2013 00:00,-0.004,
28/08/2013 01:00,-0.004,
28/08/2013 02:00,-0.004,
28/08/2013 03:00,-0.004,
28/08/2013 04:00,-0.004,
28/08/2013 05:00,-0.004,
28/08/2013 06:00,0.201,
28/08/2013 07:00,0.319,
28/08/2013 08:00,0.497,
28/08/2013 09:00,2.594,
28/08/2013 10:00,2.787,
28/08/2013 11:00,2.936,
28/08/2013 12:00,2.984,
28/08/2013 13:00,3.013,
28/08/2013 14:00,2.8,
28/08/2013 15:00,2.285,
28/08/2013 16:00,1.797,
28/08/2013 17:00,0.944,
28/08/2013 18:00,0.461,
28/08/2013 20:00,-0.004,
28/08/2013 21:00,-0.004,
28/08/2013 22:00,-0.004,
28/08/2013 23:00,-0.004,
29/08/2013 00:00,-0.004,
29/08/2013 01:00,-0.004,
29/08/2013 02:00,-0.004,
29/08/2013 03:00,-0.004,
29/08/2013 04:00,-0.004,
29/08/2013 05:00,-0.004,
29/08/2013 06:00,0.019,
29/08/2013 07:00,0.395,
29/08/2013 08:00,1.124,
29/08/2013 09:00,2.166,
29/08/2013 10:00,2.704,
29/08/2013 11:00,2.932,
29/08/2013 12:00,3.289,
29/08/2013 13:00,3.372,
29/08/2013 14:00,2.754,
29/08/2013 15:00,2.527,
29/08/2013 16:00,1.75,
29/08/2013 17:00,1.07,
29/08/2013 18:00,0.461,
29/08/2013 20:00,-0.004,
29/08/2013 21:00,-0.004,
29/08/2013 22:00,-0.004,
29/08/2013 23:00,-0.004,
30/08/2013 00:00,-0.004,
30/08/2013 01:00,-0.004,
30/08/2013 02:00,-0.004,
30/08/2013 03:00,-0.004,
30/08/2013 04:00,-0.004,
30/08/2013 05:00,-0.004,
30/08/2013 06:00,0.004,
30/08/2013 07:00,0.35,
30/08/2013 08:00,1.798,
30/08/2013 09:00,2.453,
30/08/2013 10:00,3.17,
30/08/2013 11:00,2.725,
30/08/2013 12:00,2.927,
30/08/2013 13:00,3.393,
30/08/2013 14:00,3.013,
30/08/2013 15:00,2.227,
30/08/2013 16:00,1.875,
30/08/2013 17:00,1.106,
30/08/2013 18:00,0.469,
30/08/2013 19:00,0.088,
30/08/2013 20:00,-0.004,
30/08/2013 21:00,-0.004,
30/08/2013 22:00,-0.004,
31/08/2013 00:00,-0.004,
31/08/2013 01:00,-0.004,
31/08/2013 02:00,-0.004,
31/08/2013 03:00,-0.004,
31/08/2013 04:00,-0.004,
31/08/2013 05:00,-0.004,
31/08/2013 06:00,0.042,
31/08/2013 07:00,1.181,
31/08/2013 08:00,1.738,
31/08/2013 09:00,2.743,
31/08/2013 10:00,2.889,
31/08/2013 11:00,3.086,
31/08/2013 12:00,3.156,
31/08/2013 13:00,2.995,
31/08/2013 14:00,2.798,
31/08/2013 15:00,2.392,
31/08/2013 16:00,1.809,
31/08/2013 17:00,1.074,
31/08/2013 18:00,0.326,
31/08/2013 19:00,0.232,
31/08/2013 20:00,-0.004,
31/08/2013 21:00,-0.004,
31/08/2013 22:00,-0.004,
31/08/2013 23:00,-0.004,
